book,author,qtype,question,answer
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book did the main character’s mother disappear right before their thirteenth birthday?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 3)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,"In which book is the “Many Worlds” principle described as other universes pushed up right next to us, almost identical to ours but with small changes?",A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 45)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book does a doctor lie about calling the library to try to locate the main character’s father?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p.92)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book are two friends described as “remainders;” both living an extra careful life so their parents won’t relive the pain of losing a child?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p.107)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book do friends prepare an email for delayed delivery which would explain they were on a mountain search?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 108)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book do Initials and their time traveling selves appear to stutter or shimmer if they are in close proximity to each other?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p.118)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book is there a secret society to protect the timeline?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 155)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book does a character keep a note in his pocket from his grandmother that reads “I was wrong. Don’t trust anyone?”,A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 72)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,"In which book does ISTA, The International Society for Temporal Adherence, become a problem?",A Time Traveler’s Theory of Relativity by Nicole Valentine (p.116)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book does an unknown character occasionally speak directly to the reader between chapters?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p.185)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book are “nodes’ like knots on a thread where you can grab hold and then jump off; they’re markers and landing points?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 203)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book are “imprints” alternative timelines from the “prime imprint” of the original timeline?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 208)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,"In which book does the story include multiple universes, each with multiple timelines? ",A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 322)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, why was Finn reluctant to go swimming with his good friend Gabi at the quarry?",It was where his twin sister had drowned. (p. 18)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, Gabi and Finn became friends when she dreamt that he was in trouble and couldn’t get back home. What did she send him?",A ball of sunlight (p. 22)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, who are the two tiny figures in the quarry photo that Finn studies in his father's office?",Finn and Grace (p. 105)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, what gender have the family’s time travelers been?",Female; they have all been women (p. 155)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, Finn’s mother built a portal, a way to reach her in an emergency. What is the portal made from?",A tree (p. 63)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, Finn and Gabi come upon a cabin in the woods. What is nailed above the door?",A rotting animal skull (p. 179)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, who is trying to make decisions about what should be changed in history?",Doc and/or his faction of ISTA (p. 207)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, Finn is told of the most powerful time traveler in their family. Who is it?","Faith, his sister (p. 209)"
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, Finn finally finds his mother who then shares her plan with him. Why does resentment explode inside Finn after his mother asks for his help?",His mother never intends to return home with him; she will stay behind to try to raise and teach his sister with love. (p. 219)
